Symbol,Date,Headline
EUROTEXIND_NS,2026-06-09,"Announcement under Regulation 30 (LODR)-Change in Management - Shri Hariprasad Siotia, Non-Executive Director, died on June 7, 2026; he ceases as promoter group."
EUROTEXIND_NS,2026-05-26,Compliances-Reg.24(A)-Annual Secretarial Compliance - Annual Secretarial Compliance Report for FY ended 31 March 2026 filed; no non-compliances noted.
EUROTEXIND_NS,2026-05-25,"Announcement under Regulation 30 (LODR)-Newspaper Publication - Intimation of Publication of Audited Financials for the Quarter and Year ended 31st March, 2026."
EUROTEXIND_NS,2026-05-22,Announcement under Regulation 30 (LODR)-Change in Management - Board approved Ansari & Co. as internal auditor for FY 2026-27.
EUROTEXIND_NS,2026-05-22,"Board Meeting Outcome for Board Meeting Outcome For Outcome Of Board Meeting Held On 22Nd May, 2026 - On 22 May 2026, board approved FY26 audited results; Supreme Court ruled against company on Rs305.54 lakh duty."
EUROTEXIND_NS,2020-08-31,Rating update - from icra
EUROTEXIND_NS,2019-02-15,Rating update - from icra
EUROTEXIND_NS,2018-11-23,Rating update - from icra
EUROTEXIND_NS,2018-05-21,Rating update - from icra
EUROTEXIND_NS,2017-10-03,Rating update - from icra
EUROTEXIND_NS,2017-03-23,Rating update - from icra
