symbol,last_close_rs,market_cap_cr,market_cap_missing,avg_daily_value_lakh,days_history,zero_vol_days,pump_risk_score,sub_amihud,sub_vol_spike,sub_price_accel
LAL,7.49,129.38,False,4.82,89,1,34.67,29.34,33.71,44.54
SHANTI,6.55,7.27,False,2.82,89,1,34.55,34.11,16.85,60.01
SHAHALLOYS,70.0,138.58,False,7.77,89,1,34.23,23.1,44.94,37.04
BALKRISHNA,18.74,60.38,False,6.51,90,2,34.07,25.6,27.78,56.41
AARTECH,41.85,132.96,False,48.97,89,1,34.02,5.03,44.94,65.08
PRITI,41.0,54.75,False,9.41,89,1,33.83,18.76,22.47,73.86
ANTGRAPHIC,0.82,12.71,False,2.02,89,1,33.72,49.33,11.24,40.2
NAVKARURB,0.92,103.23,False,13.25,89,1,33.64,11.86,33.71,68.39
DGCONTENT,28.49,165.31,False,4.16,89,1,33.36,28.87,22.47,55.78
JISLDVREQS,23.3,1709.08,False,6.45,90,2,33.3,23.23,38.89,41.59
BALPHARMA,88.05,140.18,False,21.02,89,1,33.18,9.14,50.56,47.33
TOUCHWOOD,71.35,79.06,False,3.64,90,2,33.02,37.29,27.78,33.54
TNTELE,9.5,43.4,False,4.36,89,1,32.95,40.43,16.85,43.53
WEIZMANIND,83.11,128.77,False,2.62,90,2,32.91,45.17,11.11,43.82
SAGARDEEP,24.6,41.96,False,5.42,89,1,32.86,44.44,22.47,28.89
AEPL,16.42,412.2,False,5.66,57,1,32.7,27.7,17.54,61.93
DIGJAMLMTD,45.0,90.0,False,5.87,90,2,32.62,30.65,27.78,42.56
BALAJEE,29.12,237.53,False,26.81,89,1,32.58,3.66,39.33,69.43
ORIENTLTD,59.5,59.5,False,2.77,90,2,32.53,44.9,16.67,34.94
TVVISION,5.25,20.34,False,0.99,89,1,32.34,56.36,11.24,23.47
RUCHINFRA,6.31,148.93,False,8.92,89,1,32.28,15.57,22.47,72.73
CTE,33.8,65.07,False,8.43,89,1,31.9,21.35,22.47,62.0
CCHHL,12.83,209.73,False,5.62,89,1,31.74,25.19,28.09,47.35
TARMAT,52.0,130.33,False,6.52,89,1,31.65,11.11,33.71,61.64
DELTAMAGNT,61.5,66.73,False,3.12,89,1,31.53,30.54,28.09,37.94
PALASHSECU,99.67,99.7,False,4.02,89,1,31.45,41.08,22.47,28.6
AKI,4.88,50.36,False,11.12,89,1,31.4,16.73,28.09,59.53
UMAEXPORTS,25.36,85.74,False,19.46,89,1,31.07,9.7,22.47,77.31
SADBHAV,9.5,162.99,False,20.93,89,1,30.9,11.45,16.85,81.68
VGL,66.23,341.27,False,110.36,90,2,30.79,2.17,44.44,57.48
DSFCL,24.8,215.74,False,28.55,74,2,30.6,6.82,20.27,83.1
ARCHIES,14.4,48.64,False,3.96,89,1,30.52,32.33,16.85,46.78
TOTAL,51.66,83.31,False,5.88,89,1,30.14,32.28,22.47,37.46
MALUPAPER,32.5,56.79,False,3.23,89,1,30.07,32.12,28.09,29.58
SUPREME,46.57,180.7,False,64.46,89,1,29.96,4.45,50.56,41.93
DEVIT,28.79,162.27,False,32.88,90,2,29.94,4.2,38.89,58.59
VIPULLTD,8.93,125.88,False,23.1,90,2,29.64,8.8,38.89,50.02
FIBERWEB,28.68,82.57,False,9.49,89,1,29.58,8.5,33.71,57.53
MBLINFRA,31.58,487.69,False,43.32,89,1,29.51,5.86,33.71,61.49
MITTAL,1.0,44.39,False,10.37,90,2,29.44,13.2,22.22,65.53
ATAM,71.68,82.17,False,12.14,89,1,29.36,10.97,28.09,60.56
AKG,11.31,35.94,False,2.48,90,2,29.23,25.12,22.22,45.63
DCM,99.88,186.55,False,15.32,89,1,29.19,10.58,33.71,52.63
MAHESHWARI,66.0,195.34,False,17.41,89,1,28.93,8.2,44.94,39.68
VCL,1.43,26.28,False,6.97,89,1,28.75,18.08,11.24,70.35
FINKURVE,61.09,856.14,False,79.82,89,1,28.74,4.09,33.71,61.22
REPL,67.12,121.64,False,17.97,89,1,28.61,12.86,22.47,62.4
GILLANDERS,91.58,195.45,False,9.28,90,2,28.59,16.12,33.33,41.91
VARDHACRLC,45.39,364.77,False,31.2,90,2,28.55,5.97,38.89,50.21
AARNAV,24.52,,True,20.24,66,0,28.22,8.52,45.45,35.62
OMFREIGHT,81.71,275.16,False,51.08,90,2,28.22,2.37,44.44,46.88
ASHOKAMET,15.36,38.39,False,4.49,89,1,28.17,21.26,22.47,47.19
SADBHIN,2.93,103.2,False,9.92,89,1,28.15,13.03,11.24,76.01
ALPA,69.2,145.6,False,18.32,89,1,28.14,7.79,22.47,68.63
DRCSYSTEMS,14.65,211.08,False,11.29,89,1,28.1,10.75,33.71,48.02
CINEVISTA,16.2,93.05,False,4.14,89,1,28.05,31.41,22.47,30.49
ODIGMA,20.98,65.58,False,9.58,89,1,28.05,15.21,16.85,64.26
SURYALAXMI,56.8,106.81,False,3.93,89,1,27.96,30.38,11.24,47.49
GAYAHWS,2.26,54.16,False,7.94,89,1,27.82,20.51,11.24,62.73
AIROLAM,80.75,121.14,False,3.51,89,1,27.78,37.73,22.47,19.29
PIONEEREMB,24.2,74.57,False,10.55,89,1,27.67,15.06,28.09,47.27
SHYAMCENT,4.99,105.87,False,6.14,89,1,27.65,19.33,16.85,56.1
RNBDENIMS,10.21,291.59,False,132.8,90,2,27.55,1.52,22.22,76.67
BAGFILMS,5.2,108.01,False,6.36,90,2,27.5,18.25,16.67,57.45
LAGNAM,80.61,142.43,False,14.58,89,1,27.5,11.57,33.71,44.3
DIGIDRIVE,18.74,72.09,False,9.1,90,2,27.42,13.76,27.78,48.77
ELGIRUBCO,47.15,235.99,False,26.37,90,2,27.37,7.59,22.22,66.23
PAR,89.0,109.51,False,14.03,89,1,27.18,11.65,39.33,35.05
AKASH,27.65,46.62,False,2.46,89,1,27.05,34.8,11.24,36.78
GVPTECH,6.48,106.84,False,6.86,89,1,27.01,23.67,16.85,46.58
JHS,8.68,75.87,False,8.87,89,1,26.97,13.38,22.47,55.0
ACL,53.82,496.07,False,17.27,89,1,26.79,7.84,28.09,55.31
TCIFINANCE,14.74,18.97,False,4.4,89,1,26.65,26.91,11.24,47.81
AGROPHOS,30.65,62.14,False,9.03,90,2,26.62,13.86,22.22,53.2
BANG,38.3,51.93,False,3.96,90,2,26.55,24.45,11.11,51.54
XTGLOBAL,30.0,402.37,False,17.97,89,1,26.51,7.9,22.47,61.93
OSWALSEEDS,11.08,101.35,False,8.82,89,1,26.4,16.65,28.09,39.63
RVHL,40.35,247.45,False,14.07,89,1,26.39,13.23,22.47,52.93
HMAAGRO,23.52,1177.81,False,173.69,89,1,26.36,1.01,50.56,33.01
GENCON,39.4,224.53,False,69.22,90,2,26.32,1.0,44.44,41.47
BLBLIMITED,16.85,89.08,False,16.17,90,2,26.19,4.4,27.78,58.81
SOMICONVEY,100.0,121.59,False,16.29,89,1,26.11,6.42,22.47,62.71
GTPL,64.55,725.95,False,55.37,90,2,26.05,2.31,38.89,46.07
ASMS,7.51,228.74,False,138.35,90,2,25.91,0.8,27.78,63.48
GOKUL,40.41,400.04,False,34.54,89,1,25.84,4.17,33.71,49.49
LIBAS,12.13,31.96,False,6.13,89,1,25.81,13.52,33.71,34.4
SELMC,31.61,104.88,False,3.48,89,1,25.81,31.31,11.24,37.43
GINNIFILA,41.98,359.56,False,49.96,89,1,25.35,2.95,33.71,49.49
ROML,46.0,68.95,False,2.4,89,1,25.19,34.31,11.24,30.13
VINNY,1.09,50.71,False,5.64,89,1,25.17,17.96,16.85,48.35
EXXARO,6.59,294.84,False,15.94,89,1,25.08,5.83,39.33,35.94
RADIOCITY,6.17,216.78,False,7.18,89,1,25.04,9.45,22.47,53.58
LANCORHOL,25.09,184.54,False,16.55,89,1,25.01,9.21,22.47,53.84
ZEEMEDIA,8.58,536.62,False,89.56,89,1,24.97,0.99,33.71,51.11
GOLDTECH,42.96,225.0,False,20.07,90,2,24.91,5.73,27.78,51.57
NIBL,30.3,73.42,False,7.87,90,2,24.75,12.87,33.33,31.75
KOTHARIPRO,72.98,435.6,False,20.89,90,2,24.74,8.81,33.33,38.19
ADROITINFO,9.21,52.74,False,6.88,89,1,24.72,19.49,22.47,36.24
BEARDSELL,29.19,115.12,False,7.57,89,1,24.72,15.46,16.85,50.54
DELPHIFX,9.53,233.74,False,53.48,89,1,24.72,2.32,16.85,71.56
RKEC,30.42,72.98,False,18.33,89,1,24.69,8.68,11.24,69.15
ESSARSHPNG,23.38,486.03,False,87.9,90,2,24.56,1.44,33.33,49.26
MAGNUM,19.88,136.0,False,15.14,89,1,24.55,10.01,22.47,50.73
TARAPUR,19.68,38.38,False,6.36,89,1,24.55,23.45,11.24,44.93
USK,24.82,137.4,False,5.88,89,1,24.53,9.08,11.24,67.88
GATECHDVR,0.49,63.33,False,3.77,89,1,24.41,23.76,11.24,43.89
ZENITHSTL,5.83,82.95,False,8.75,89,1,24.36,13.12,5.62,68.56
INDTERRAIN,32.95,166.95,False,10.04,89,1,24.34,13.29,22.47,44.64
LYKALABS,63.95,228.24,False,35.09,89,1,24.24,5.04,28.09,49.56
SMLT,72.76,99.61,False,13.53,89,1,24.23,9.47,22.47,50.3
PATINTLOG,13.78,95.89,False,24.57,89,1,24.21,7.86,22.47,52.8
BCPL,77.51,129.62,False,47.93,48,2,23.94,3.25,20.83,61.41
SONAMLTD,56.5,226.18,False,35.97,89,1,23.94,2.75,39.33,36.31
ORIENTALTL,6.54,48.07,False,10.66,90,2,23.84,8.87,5.56,73.38
PASHUPATI,90.54,1429.08,False,107.18,90,2,23.81,0.87,38.89,39.42
AURIGROW,0.33,21.99,False,31.83,90,2,23.74,4.68,5.56,79.67
BVCL,41.7,92.41,False,7.86,89,1,23.73,12.18,16.85,51.84
GULFPETRO,43.52,221.88,False,34.09,89,1,23.68,4.63,22.47,55.83
SPENCERS,37.48,337.36,False,46.65,90,2,23.64,4.16,22.22,56.81
ORCHASP,2.02,69.98,False,7.94,90,2,23.61,12.49,22.22,43.33
GTL,8.14,128.04,False,23.82,90,2,23.58,3.74,22.22,57.22
NILAINFRA,7.97,313.93,False,27.18,90,2,23.52,4.09,22.22,56.45
AMDIND,47.79,91.6,False,5.95,89,1,23.3,20.02,16.85,37.57
INDORAMA,45.75,1194.59,False,82.8,90,2,23.14,1.91,27.78,50.61
BYKE,35.0,182.98,False,44.16,89,1,22.91,3.88,11.24,69.69
SAMPANN,27.0,131.79,False,14.22,89,1,22.89,8.75,22.47,46.09
RKDL,20.48,49.15,False,4.77,90,2,22.85,21.06,16.67,34.35
UCAL,98.0,216.71,False,14.41,89,1,22.81,6.78,28.09,41.06
ANMOL,11.43,65.05,False,6.47,90,2,22.8,17.07,11.11,48.34
MANAKALUCO,35.23,230.88,False,36.18,90,2,22.78,5.01,5.56,75.34
ISHANCH,61.7,168.61,False,12.28,89,1,22.73,9.65,22.47,44.02
SUNDARAM,1.35,63.97,False,8.95,89,1,22.73,11.72,22.47,40.71
AHLADA,41.35,53.43,False,7.46,90,2,22.69,13.74,11.11,53.23
INTENTECH,93.85,219.2,False,63.59,89,1,22.68,1.91,16.85,64.08
SAKHTISUG,17.8,211.85,False,32.18,89,1,22.61,4.43,28.09,44.02
EMAMIPAP,86.13,521.08,False,24.66,90,2,22.6,4.24,27.78,44.72
TRU,5.45,64.78,False,8.94,89,1,22.58,12.1,11.24,55.23
AIRAN,16.89,211.16,False,12.29,89,1,22.56,6.93,11.24,63.43
SIL,15.77,101.45,False,4.15,89,1,22.54,21.08,5.62,48.58
RAJSREESUG,33.55,111.17,False,27.74,89,1,22.53,5.67,22.47,49.58
RPPINFRA,61.19,303.42,False,64.67,90,2,22.4,2.33,16.67,62.53
RAMANEWS,29.65,446.23,False,25.61,89,1,22.37,4.54,22.47,50.75
ALMONDZ,13.83,240.15,False,26.6,90,2,22.25,6.9,16.67,54.63
NRL,72.0,497.3,False,51.38,89,1,22.21,2.78,28.09,45.08
ARCHIDPLY,77.5,155.02,False,24.81,89,1,22.18,7.64,22.47,45.03
HMVL,80.0,588.12,False,18.93,89,1,22.1,5.03,28.09,41.03
MOKSH,11.79,98.74,False,21.12,89,1,22.09,6.19,16.85,54.87
NOVAAGRI,26.71,240.44,False,47.41,89,1,22.06,2.3,5.62,76.69
THEINVEST,99.77,521.22,False,28.37,89,1,22.01,6.72,22.47,45.84
PRIMO,26.21,635.18,False,68.24,89,1,21.92,2.45,16.85,60.18
JAIPURKURT,30.15,52.04,False,10.16,89,1,21.84,8.9,16.85,49.54
BIGBLOC,51.31,726.43,False,77.8,90,2,21.73,1.53,22.22,53.37
AKSHAR,0.46,36.22,False,6.57,89,1,21.64,10.57,11.24,53.89
EMMBI,82.7,159.12,False,16.52,89,1,21.61,6.02,16.85,53.23
BASML,24.85,198.6,False,37.45,89,1,21.56,3.77,22.47,48.74
RUBFILA,75.34,408.85,False,32.36,89,1,21.56,4.23,33.71,32.27
KAMOPAINTS,5.11,168.12,False,22.59,89,1,21.39,3.33,11.24,64.48
GEEKAYWIRE,23.57,246.35,False,35.06,90,2,21.22,3.62,16.67,55.76
SUPREMEINF,79.44,774.56,False,24.06,90,2,21.16,3.05,22.22,48.67
TOLINS,97.45,385.01,False,141.92,89,1,21.12,0.99,22.47,51.46
AVROIND,11.46,153.76,False,45.74,90,2,21.08,5.05,22.22,45.15
SPCENET,3.67,207.24,False,44.36,90,2,21.01,2.5,5.56,72.27
TTL,7.77,200.71,False,9.6,89,1,20.97,10.54,11.24,51.29
COASTCORP,50.29,336.83,False,96.54,90,2,20.94,1.92,16.67,57.36
ESTER,92.4,963.69,False,146.71,90,2,20.87,0.77,27.78,43.35
BMWVENTLTD,62.4,541.1,False,102.95,90,2,20.82,0.87,27.78,43.02
REMSONSIND,83.46,292.68,False,188.01,90,2,20.67,0.98,22.22,49.99
CIFL,24.14,944.01,False,93.15,89,1,20.59,1.53,22.47,48.44
PRAENG,22.06,154.28,False,14.4,89,1,20.58,12.51,11.24,46.56
SURANASOL,27.43,134.97,False,35.35,89,1,20.39,4.72,22.47,42.55
MANAKSIA,58.52,383.51,False,18.98,89,1,20.36,6.04,16.85,48.18
CENTRUM,21.95,1041.54,False,166.14,90,2,20.27,1.14,16.67,55.9
ISFT,84.02,137.05,False,13.63,89,1,20.23,7.38,11.24,53.39
PROZONER,51.71,789.11,False,189.05,90,2,20.2,0.93,11.11,63.78
AMJLAND,36.8,150.88,False,7.96,89,1,20.19,14.38,11.24,42.02
UYFINCORP,14.89,283.26,False,12.97,89,1,20.17,6.6,22.47,38.66
NECCLTD,15.02,150.2,False,10.31,90,2,20.16,8.76,5.56,58.82
LOVABLE,73.44,108.69,False,25.69,89,1,20.1,7.94,16.85,44.1
RADIANTCMS,38.4,409.76,False,73.03,90,2,20.05,1.54,22.22,46.62
AXITA,7.86,300.78,False,39.5,89,1,19.75,1.92,33.71,28.72
HLVLTD,7.94,523.45,False,34.06,89,1,19.75,3.45,11.24,57.76
KRITIKA,6.1,162.43,False,15.63,89,1,19.74,8.3,11.24,49.96
KAVDEFENCE,62.33,374.75,False,55.19,90,2,19.61,1.8,11.11,60.02
SATIA,54.79,547.9,False,104.14,89,1,19.52,1.01,22.47,44.99
SINGERIND,70.5,,True,35.36,51,0,19.52,3.63,19.61,44.8
ZEELEARN,8.18,268.08,False,76.65,90,2,19.52,1.67,16.67,52.06
COMPUSOFT,13.83,109.43,False,10.57,89,1,19.51,14.49,11.24,39.13
JMA,90.21,206.05,False,8.57,89,1,19.43,7.97,22.47,33.5
ASHIMASYN,16.57,317.58,False,23.86,90,2,19.42,5.95,16.67,44.83
BESTAGRO,16.19,574.21,False,78.61,90,2,19.34,1.65,5.56,66.95
JETFREIGHT,21.53,99.91,False,32.39,90,2,19.34,4.69,22.22,38.76
MURUDCERA,32.23,195.14,False,9.43,90,2,19.19,9.07,16.67,38.92
XELPMOC,91.98,136.13,False,30.27,89,1,19.19,5.54,11.24,52.18
RPPL,18.62,136.57,False,15.18,90,2,19.11,5.98,16.67,43.52
UNIVASTU,79.1,284.66,False,81.34,89,1,19.07,1.55,28.09,34.46
CCCL,14.61,652.72,False,58.3,89,1,19.05,2.12,11.24,57.1
NDL,2.63,379.11,False,44.48,90,2,18.99,2.06,5.56,64.88
TEXMOPIPES,43.09,125.8,False,22.2,89,1,18.94,5.78,11.24,50.79
BTML,6.48,117.74,False,31.01,89,1,18.87,4.41,22.47,36.96
A2ZINFRA,14.76,262.02,False,32.25,89,1,18.78,3.59,16.85,45.79
INDOUS,98.19,196.89,False,32.85,89,1,18.73,2.32,11.24,55.48
ATLANTAA,40.88,333.17,False,41.41,89,1,18.69,3.9,16.85,44.93
RAJMET,3.82,105.62,False,12.46,89,1,18.69,4.5,11.24,51.84
SIGIND,49.21,144.86,False,14.02,89,1,18.65,13.09,16.85,30.06
DCMSRIND,39.14,340.49,False,73.4,90,2,18.63,1.64,16.67,48.58
HCL-INSYS,12.9,424.68,False,49.37,90,2,18.62,2.05,16.67,47.87
STEELCITY,78.22,118.17,False,6.03,89,1,18.57,10.02,22.47,26.81
VIRINCHI,15.37,169.93,False,24.25,90,2,18.42,4.95,11.11,50.21
VIKASECO,1.29,228.16,False,27.09,90,2,18.25,3.09,5.56,60.26
ORIENTCER,38.28,457.98,False,46.55,90,2,18.12,3.98,22.22,35.01
CENTEXT,19.5,156.0,False,24.24,89,1,18.11,4.37,16.85,41.84
OMINFRAL,86.0,828.21,False,103.37,90,2,18.08,1.04,16.67,47.34
SIKKO,4.08,178.21,False,15.8,89,1,18.07,4.42,11.24,49.47
SSDL,57.99,229.64,False,16.35,89,1,18.02,5.29,11.24,47.88
AJOONI,4.03,69.41,False,15.45,89,1,17.99,5.47,5.62,55.33
TRACXN,31.99,341.66,False,77.23,90,2,17.93,1.09,16.67,46.62
DONEAR,90.94,472.89,False,36.06,89,1,17.9,2.6,22.47,35.98
IGCL,57.0,360.38,False,97.88,89,1,17.89,1.44,16.85,45.67
MKPL,4.91,185.22,False,14.14,89,1,17.75,6.5,11.24,44.87
MCL,60.49,164.19,False,28.07,89,1,17.73,3.33,16.85,42.01
PVSL,98.37,700.38,False,65.92,90,2,17.66,1.64,16.67,44.7
FOODSIN,56.81,417.73,False,96.59,90,2,17.6,1.24,5.56,60.64
PIGL,100.0,211.69,False,81.77,90,2,17.6,1.81,11.11,51.95
SHREERAMA,43.74,583.79,False,78.08,89,1,17.6,1.48,16.85,44.43
HPAL,36.2,332.59,False,39.1,89,1,17.57,3.05,5.62,57.51
FOCUS,92.71,622.42,False,90.95,89,1,17.53,1.28,16.85,44.48
UMIYA-MRO,84.61,158.09,False,11.96,89,1,17.52,7.55,16.85,34.42
RADHIKAJWE,56.5,667.41,False,153.99,89,1,17.48,0.66,16.85,45.27
SIGMA,41.0,421.38,False,40.66,89,1,17.32,3.39,11.24,48.13
SHALPAINTS,50.5,422.74,False,34.13,90,2,17.3,3.21,5.56,56.3
MONEYBOXX,70.01,488.73,False,32.19,89,1,17.24,3.99,11.24,46.84
HTMEDIA,23.25,537.82,False,21.66,89,1,17.11,4.47,16.85,37.69
KOTARISUG,25.49,211.28,False,15.15,90,2,17.1,6.22,16.67,35.12
TPHQ,0.51,55.91,False,7.79,89,1,16.95,12.63,0.0,47.61
SRD,38.99,249.41,False,14.48,89,1,16.83,7.31,5.62,47.74
KUANTUM,76.72,669.49,False,80.52,89,1,16.82,1.46,16.85,41.33
AERONEU,86.86,224.06,False,59.0,90,2,16.8,2.87,16.67,39.26
CINELINE,80.0,274.13,False,17.3,89,1,16.76,5.13,22.47,27.37
TRIGYN,56.81,174.89,False,25.87,89,1,16.72,4.57,0.0,59.59
GENUSPAPER,12.26,315.24,False,11.61,89,1,16.71,7.49,0.0,54.86
SUTLEJTEX,38.07,632.03,False,24.24,90,2,16.63,3.56,5.56,53.04
ANDHRAPAP,61.43,1221.54,False,117.98,89,1,16.58,0.83,28.09,25.65
SHAH,4.86,433.15,False,174.49,89,1,16.5,0.56,28.09,25.8
PDMJEPAPER,82.5,783.34,False,104.74,89,1,16.49,0.78,16.85,41.12
RUSHIL,14.69,431.03,False,117.4,90,2,16.42,1.16,11.11,48.29
GATECH,0.55,71.08,False,30.95,90,2,16.37,3.08,11.11,44.99
GANGAFORGE,2.33,31.41,False,7.55,90,2,16.28,10.81,11.11,32.25
VIKASLIFE,1.5,278.65,False,45.96,90,2,16.26,1.85,0.0,62.1
JAYSREETEA,86.84,250.77,False,48.88,89,1,16.21,2.21,11.24,45.57
ZODIACLOTH,74.26,203.9,False,6.16,89,1,16.15,14.81,0.0,40.89
CUBEXTUB,87.63,125.48,False,146.44,89,1,16.11,0.53,11.24,47.88
GLOBE,2.27,102.25,False,13.0,89,1,16.11,6.24,11.24,38.71
MADRASFERT,69.96,1127.06,False,120.55,89,1,16.04,0.9,16.85,39.12
INTLCONV,81.54,520.07,False,55.94,90,2,16.03,1.77,16.67,37.96
ENERGYDEV,17.32,82.27,False,6.86,89,1,16.02,10.94,5.62,38.72
AVONMORE,10.17,286.98,False,32.64,89,1,15.94,4.07,11.24,41.51
VASWANI,59.75,197.17,False,32.92,89,1,15.88,2.54,16.85,35.86
